Movie,Cast,Release_year
Bharosa,"Yasmeen, Yousuf, Allauddin, Husna, Laila",1958
Changez Khan,"Kamran, Asha, Allauddin, H. Choudhury",1958
Darbar,"Sabiha Khanum, Santosh Kumar, Yasmeen, Allauddin, Neelo",1958
Dil Mein Too,"Sabiha Khanum, Ejaz Durrani, Nayyar Sultana, Nazar, Lehri",1958
Hasrat,"Sabiha Khanum, Santosh Kumar, Allauddin, Yousuf Khan",1958
Jaan-e-Bahar,"Musarrat Nazir, Sudhir, Husna, Neelo, Shahnawaz",1958
Lakhpati,"Nighat, Saqi, Nasreen, Bilal",1958
Mumtaz,"Ragni, Neelo, Ayaz, Mazhar Shah, Charlie",1958
Nai Ladki,"Neelo, Aslam Pervaiz, Shahnawaz, Anjum, Amin Malik",1958
Naya Daur,"Jamila, Aslam Pervaiz, Neelo, Diljit, Yousuf Khan",1958
Naya Zamana,"Musarrat Nazir, Santosh Kumar, Asha, Ghulam Mohammed",1958
Pehla Qadam,"Suzy, Haroon Rashid, Naina, Azad",1958
Rukhsana,"Musarrat Nazir, Darpan, Nayyar Sultana, Neelo",1958
Sitaroon Ki Duniya,"Ejaz Durrani, Sheeda Imam, Meena, Rukhsana, Charlie",1958
Tamanna,"Yasmeen, Ejaz Durrani, Nighat Sultana, Diljit",1958
Tauheed,"Nayyar Sultana, Talish, Laila, Salim Raza",1958
Wah Re Zamanay,"Shamim Ara, Ejaz Durrani, Ratan Kumar, Rukhsana",1958
Zehr-e-Ishq,"Musarrat Nazir, Habib, Yasmeen, Neelo",1958
Aaj Kal,"Sabiha Khanum, Syed Kamal, Bibbo, Rakshi, Abbas Nausha",1959
Akash Aar Mati,"Amin, Prabir Kumar, Sumita Devi",1959
Alam Ara,"Shamim Ara, Ilyas, Akmal, Ghulam Mohammed",1959
Apna Paraya,"Shamim Ara, Syed Kamal, Rukhsana, Yousuf Khan",1959
Faisla,"Shamim Ara, Yousuf Khan, Jamila Razzaq, Lehri",1959
Gulshan,"Meena Shorey, Sudhir, Aslam Pervaiz, Allauddin",1959
Gumrah,"Kafira, Habib, Mahrukh, Ejaz Durrani",1959
Himmat,"Bahar, Aslam Pervaiz, Azad, Nazar, Shahnawaz",1959
Jago Hua Severa,"Tarampati Mitra, Anis, Zoreen, Rakshi",1959
Jhoomar,"Musarrat Nazir, Allauddin, Naeem Hashmi, Sudhir",1959
Khul Ja Sim Sim,"Yasmeen, Darpan, Nazar, Zeenat",1959
Koel,"Noor Jehan, Aslam Pervaiz, Neelo, Allauddin",1959
Lalkaar,"Neelo, Yasmeen, S. Gul, Nayyar Sultana, Ajmal, Shahnawaz, Rekha",1959
Matir Pahar,Sumita Devi,1959
Mazloom,"Nayyar Sultana, Aslam Pervaiz, Akmal, Shamim Ara",1959
Muskurahat,"Sabiha Khanum, Santosh Kumar, Aslam Pervaiz, M. Ismail",1959
Naghma-e-Dil,"Sabiha Khanum, Santosh Kumar, Naeem Hashmi",1959
Nagin,"Neelo, Ratan Kumar, Saqi, Yousuf Khan",1959
Neend,"Noor Jehan, Aslam Pervaiz, Neelo, Diljit",1959
Raaz,"Musarrat Nazir, Ejaz Durrani, Shamim Ara, Allauddin",1959
Saathi,"Neelo, Darpan, Talish, Husna, Nazar",1959
Sahara,"Musarrat Nazir, Darpan, Diljit, Zeenat",1959
Savera,"Shamim Ara, Syed Kamal, Rukhsana, Sikander",1959
Shama,"Swaran Lata, Nazir Ahmed Khan, Neelo, Darpan",1959
Society,"Musarrat Nazir, Sudhir, Zeenat, Husna",1959
Sola Aaney,"Neelo, Musarrat Nazir, Ejaz Durrani, Zahur Shah",1959
Tere Baghair,"Sabiha Khanum, Santosh Kumar, Allauddin, Lehri",1959
Aik Thi Maa,"Nayyar Sultana, Bahar, Sudhir, Nazar",1960
Aladdin Ka Beta,"Neelo, Ratan Kumar, Saqi, Nasira, Lehri",1960
Asiya,"Sumita Devi, Kazi Khaliq, Ranen Kushad, Shahid",1960
Aur Bhi Gham Hain,"Jamila, Jaffrey, Neelma, Talish, Agha Jan",1960
Ayaz,"Nayyar Sultana, Neelo, Sabiha Khanum, Syed Kamal, Habib, Shahnawaz",1960
Bhabhi,"Shamim Ara, Aslam Pervaiz, Yasmeen, Zarif",1960
Clerk,"Khalil Qaisar, Musarrat Nazir, Ratan Kumar, Saqi",1960
Daku Ki Ladki,"Musarrat Nazir, Ejaz Durrani, Nayyar, Allauddin",1960
Dil-e-Nadan,"Musarrat Nazir, Syed Kamal, Shahnawaz, S. Gul, Laila",1960
Do Ustad,"Shamim Ara, Ilyas, Ratan Kumar, Amy Minwala",1960
Ghareeb,"Rukhsana, Salim Nigar, Emmy, Shahina",1960
Gulbadan,"Musarrat Nazir, Ejaz Durrani, Nasira, Sheikh Iqbal",1960
Hamsafar,"Yasmeen, Aslam Pervaiz, Jaffrey, Nazar, Nighat",1960
Insaaf,"Neelo, Syed Kamal, Lehri, M. Ismail",1960
Izzat,"Shamim Ara, Ejaz Durrani, Saqi, Laila, Habib",1960
Khyber Mail,"Neelo, Aslam Pervaiz, Nayyar Sultana, Nasira, Talish",1960
Khan Bhahadur,"Musarrat Nazir, Laila, Kamal, Ajmal",1960
Laggan,"Husna, Aslam Pervaiz, Bahar, Yusuf",1960
Manzil,"Neelo, Ejaz Durrani, Laila, Aslam Pervaiz, Nazar",1960
Neelofar,"Neelo, Ratan Kumar, Nasira, Jaffri",1960
