Movie,Cast,Release_year
Naag Munni,"Rani, Waheed Murad, Sangeeta, Qavi, Rukhsana, Jalil Afghani, Masood Akhtar, Saqi, Arsalan, Talish",1972
Pardes,"Deeba, Habib, Haidar, Rangeela, Zulfi, Naghma",1972
Pazaib,"Aasiya, Nadeem, Mustafa Qureshi",1972
Sabbaq,"Zeba, Mohammad Ali, Husna, Ragni",1972
Sipah Salar,"Saloni, Ejaz, Adeeb",1972
Sodagar,"Rani, Adil, Talish",1972
Suhag,"Shamim Ara, Nadeem, Qavi",1972
Umrao Jaan Ada,"Rani, Shahid, Zamurrad, Aasiya, Mumtaz, Rangeela, Lehri, Ladla, Imdad Hussain, Nayyar Sultana, Tamanna, Talat Siddiqi, Allauddin, Aga Talish",1972
Yeh Raaste Hain Pyaar Ke,"Aaliya, Habib, Ejaz",1972
Zindgi Ek Safar Hai,"Shamim Ara, Waheed Murad",1972
Zindgi Ke Mailay,"Zamurrad, Sultan Rahi, Hamid Ch.",1972
Aas,"Shabnam, Mohammad Ali, Qavi Khan, Nannha",1973
Anhoni,"Aaliya, Waheed Murad, Lehri,",1973
Banarsi Thug,"Munawar Zarif, Ilyas Kashmiri, Ejaz Durrani, Firdous, Sultan Rahi",1973
Baharon Ki Manzil,"Sangeeta, Shahid, Talish",1973
Daman Aur Chingari,"Mohammad Ali, Nadeem Baig, Aslam Pervaiz, Zeba Ali",1973
Ziddi,"Yousuf Khan, EJaz, Ilyas Kashmiri, Nannha, Munawar Zarif",1973
Jaal,"Nisho, Waheed Murad, Nannah, Husna",1973
Khawab Aur Zindagi,Waheed Murad,1973
Khushia,"Munawar Zarif, Habib, Sangeeta",1973
Mulaqat,"Nisho, Waheed Murad",1973
Rangeela Aur Munawar Zarif,"Rangeela, Munawar Zarif, Saiqa, Shaista Qaisar",1973
Jeera Blade,"Munawar Zarif, Aasia, Saiqa, Afzal Ahmed, Bahar",1973
Bahisht,"Nisho, Nadeem Baig, Nayyar Sultana, Talish, Saiqa",1974
Chaahat,"Shabnam, Rehman, Lehri, Qavi Khan, Mustafa Qureshi",1974
Deedar,"Rani, Shahid, Waheed Murad, Talish, Sabiha Khanum",1974
Dillagi,"Shabnam, Nadeem Baig, Lehri, Talish, Nayyar Sultana, Sultan Rahi, Rehan",1974
Do Tasweerain,"Aasia, Nadeem Baig, Rangeela, Shabnam",1974
Ishg Mera Naa,"Aalia, Waheed Murad, Ilyas Kashmiri, Nazli, Iqbal Hassan",1974
Samaaj,"Nisho, Nadeem Baig, Saiqa, Qavi Khan, Aslam Pervaiz, Meena Chaudhry and Ishrat Chaudhry",1974
Sidha Rasta,"Naghma, Yousuf Khan, Sultan Rahi, Naeem Hashmi",1974
Shirin Farhad,"Zeba Ali, Mohammad Ali, Nimmo, Talish",1975
Zeenat,"Shabnam, Nadeem, Shahid, Munawar Zarif, Talish",1975
Pehchan,"Nadeem, Shabnam, Sabiha Khanam, Qavi Khan",1975
Sharif Badmash,"Yousuf Khan, Aasia, Sultan Rahi, Mustafa Qureshi",1975
Mera Naam Hai Mohabbat,"Babra Sharif, Ghulam Mohiuddin, Zarqa, Bahar Begum, Tamanna, Rehan",1975
Wehshi Jatt,"Sultan Rahi, Aasia, Iqbal Hassan, Ghazala, Afzal Ahmed, Ilyas Kashmiri",1975
Shararat,"Munawar Zarif, Ghulam Mohiuddin, Mumtaz, Nirala, Khalid Saleem Mota, Lehri",1975
Sheeda Pastol,"Munawar Zarif, Aasia, Saiqa, Afzal Ahmed, Aslam Pervaiz, Nayyar Sultana, Sultan Rahi",1975
Jub Jub Phool Khile,"Zeba, Waheed Murad, Mohammad Ali, Nadeem, Mumtaz",1975
Chitra Tay Shera,"Yousuf Khan, Aasia, Sultan Rahi, Ilyas Kashmiri, Adeeb",1976
Andaata,"Muhammad Ali, Sultan Rahi, Sudheer, Mumtaz, Adeeb, Lehri",1976
Musafir,"Usmaan Peerzada, Zahoor Ahmad, Subhani Bayounous, Mariana Haq, Shamim Hilali, Raja Jameel, Pia Khan",1976
Society Girl,"Sangeeta, Kaveeta, Ghulam Mohiuddin, Bahar Begum, Nisho, Qavi,",1976
Ishq Ishq,"Kaveeta, Ghulam Mohiuddin, Nadeem Baig, Sangeeta",1977
Haider Ali,"Mohammad Ali, Talish",1979
Maula Jatt,"Sultan Rahi, Mustafa Qureshi, Aseia",1979
Aap Ki Khatir,"Rani, Shahid, Rahat",1980
Atish,"Najma, Ghulam Mohayyuddin",1980
Azmaish,"Shabnum, Shahid, Rahat",1980
Badalte Mausam,"Shabnum, Nadeem Baig, Asif Raza",1980
Badnaam,"Rani, Mohammad Ali, Waheed",1980
Bandhan,"Najma, Waheed Murad, Ghulam Mohayyuddin, Lehri, Nazar, Aslam Pervez",1980
Bandish,"Shabnam, Nadeem Baig, Diana Christiana, Ray Martin, Talish, Allauddin",1980
The Blood of Hussain,"Aliya Begam, Durriya Kazi",1980
Chhote Nawab,"Babra, Shahid, Waheed",1980
Daaman,"Babra Sharif, Asif Raza Mir",1980
Farzana,"Kveeta, Shahid, Najma",1980
Hanste Aansoo,"Nisho, Tariq, Allauddin",1980
Haseena Maan Jayegi,"Asiya, Rangeela, Lehri",1980
Haye Yeh Shohar,"Rani, Shahid, Asif Raza",1980
Hum Dono,"Shabnum, Nadeem Baig, Kamal, Nimmi, Saiqa, Jamil Bismil, Aslam Pervez",1980
Khandan,"Najma, Rahat Kazmi, Badar Munir, Ishrat Chohdry, Tamanna",1980
Mehal Mere Sapno Ka,"Kveeta, Nadeem, Sangeeta",1980
Mehndi Lagi Mere Haath,"Kaveeta, Nadeem, Sangeeta",1980
Nahin Abhi Nahin,"Shabnam, Faisal, Ayyaz, Arzoo, Deeba, Qavi, Rangeela",1980
Piari,"Shabnum, Waheed Murad",1980
Rishta,"Shabnum, Nadeem, Anjuman",1980
Saathi,"Babra Sharif, Shahid, Asif Raza Mir, Bindia, Rangeela, Shehla Gill, Nayyar Sultana",1980
Saima,"Babra Sharif, Nadeem, Rahat Kazmi, Bazgha, Lehri, Bahar",1980
Shabab,"Nimmi, Badar Munir",1980
Sheikh Chilli,"Rani, Shahid, Asif",1980
Smuggler,"Nimmi, Badar Munir",1980
Zameer,"Deeba, Mohammad Ali, Waheed",1980
The Blood of Hussain,"Salmaan Peerzada, Kika Markham, Durriya Kazi, Shoaib Hashmi, Samina Peerzada",1981
Mian Biwi Razi,"Nadeem, Kaveeta, Tahira Naqvi, Agha Sikander, Nanha",1982
Des Pardes,"Sultan Rahi, Aasia, Chakori, Bahar",1983
Dara Baloch,"Sultan Rahi, Mustafa Qureshi, Anjuman, Ilyas Kashmiri",1983
Sholay,"Sultan Rahi, Anjuman, Mustafa Qureshi, Ilyas Kashmiri",1984
Kamyabi,"Nadeem Baig, Shabnam, Talat Hussain, Nanha",1984
Sajawal Daku,"Mustafa Qureshi, Rani, Shagufta, Nannha",1984
Lazawal,"Shabnam, Nadeem",1984
Hero,"Mumtaj, Waheed Murad, Nadeem Baig, Aslam Pervaiz, Saqi, Babra Sharif",1985
Angara,"Yousuf Khan, Aasia, Ilyas Kashmiri, Sultan Rahi",1985
Nazdeekiyan,"Usmaan Peerzada, Irfan Khosat, Samina Peerzada",1986
Baghi Sipahi,"Sultan Rahi, Mustafa Qureshi, Mumtaz, Aasia",1986
Aag Aur Sholay,"Adeeb, Manzoor Ali, Mohammad Ali, Shehbaz Durani, Ghulam Mohiuddin, Nayyar Sultana",1987
Bazar-e-Husn,"Salma Agha, Nadeem, Samina Peerzada",1988
Mukhra,"Nadeem, Samina Peerzada, Babra Sharif",1988
Kalka (film),"Anjuman (actor), Sultan Rahi, Asif Khan, Afzal Ahmed, Shahida Mini, Adeeb, Talish",1989
Shaani,"Babra Sharif
Ghulam Mohiuddin",1989
Taqat Ka Toofan,"Salma Agha, Ghulam Mohiuddin, Nadeem Baig",1989
Aasmaan,"Yusuf Khan
Nadeem Babra Sharif",1990
Barood Ka Tohfa,"Hasan Hashmi, Rana Faisal (Child Star), Raeena, Jahanzeb, Raheela Agha",1990
Bulandi,"Nadeem, Samina Peerzada, Reema, Shaan Shahid",1990
Choron Ka Dushman,"Babra, Javed Sheikh",1990
Daka,"Shahida Minni, Ajab Gul",1990
Haseena Atom Bomb,"Musarrat, Badar Munir",1990
Insaniyat Kay Dushman,"Anjuman, Nadeem, Neeli, Izhar Qazi, Sultan Rahi",1990
International Guerillas,"Babra, Javed, Afzaal",1990
Jangjoo Gorillay,"Neeli, Javed, Ajab Gul",1990
Kala Pani,"Babra, Qazi, Ajab Gul",1990
Kali,"Babra, Ismael Shah",1990
Leader,"Kaveeta, Nadeem, Qazi",1990
Maa Qasm,"Babra, Ismael Shah",1990
Miss Cleopatra,"Babra, Sultan Rahi, Gullu",1990
Nagina,"Reema Khan, Shaan Shahid, Madiha Shah",1990
Number One,"Salma Agha, Izhar Qazi",1990
Puttar Jaggey Da,"Sultan Rahi, Nadira",1990
Puttar Shahiye Da,"Yusuf Khan Naghma, Iqbal Hassan, Mustafa Qureshi",1990
Raja,"Nadra, Nadeem, Javed",1990
Tezab,"Gori, Ismael Shah",1990
Ustadon Ke Ustad,"Nadeem, Babra, Javed Sheikh",1990
Zehreelay,"Reema, Javed, Ajab",1990
Aalmi Jasoos,"Kaveeta, Qazi, Gullu",1991
Aandhi,"Shabana, Nadeem, Faisal",1991
Aansoo,"Naz, Amir Farid, Reza",1991
Akhri Shikar,"Babra, Salma Agha, Qazi",1991
Aslah,"Madiha, Suleman, Tariq",1991
Badmuash Thugg,"Gori, Sultan Rahi, Javed",1991
Bakhtawar,"Neeli, Izhar Qazi, Saima, Javed Sheikh",1991
Betab,"Kaveeta, Asad, Shahida",1991
Chitaan,"Musarrat, Nasir Bholu",1991
Cobra,"Nadira, Sultan Rahi, Gullu",1991
Darindgi,"Neeli, Javed, Reema",1991
Dil,"Reema, Shaan, Rustam",1991
Doulat Ke Pujari,"Nadira, Nadeem, Neeli",1991
Goli Tere Naam Ki,"Sassi, Amir Farid, Ruhi",1991
Grango,"Musarrat, Badar Munir",1991
Gulfam,"Madiha, Shaan, Rahi",1991
Hussan Ka Chor,"Shaan Shahid, Javed Sheikh, Nadira",1991
Ishq,"Reema, Shaan, Rustam",1991
Ishq Deewana,"Madiha Shah, Shaan",1991
Khatron Ke Khilari,"Neeli, Javed, Reema",1991
Mard,"Madiha Shah, Shaan, Khushbu",1991
Medan-e-Jang,"Reema, Sultan Rahi, Madiha",1991
Naag Devta,"Reema, Shaan, Qureshi",1991
Nadira,"Nadira, Shaan, Saima, Naghma",1991
Nigahen,"Afzaal Ahmad, Shahida Mini, Shaan Shahid, Madhiha Shah",1991
Pyar Aur Paisa,"Neeli, Ismael Shah",1991
Pyar Hi Pyar,"Reema, Shaan, Nida",1991
Pyar Kiya To Darna Kya,"Durdana Rehman, Shaan, Babur",1991
Rambo,"Reema, Ajab Gul, Hamayun",1991
Rangeelay Chor,"Madiha, Ajab Gul",1991
Saat Khoon Muaf,"Neeli, Javed, Reema",1991
Sailab,"Reema, Shaan, Asad",1991
Son of Shehnshah,"Shehnaz, Badar Munir",1991
Teen Yakke Teen Chhakke,"Neeli, Sultan Rahi, Qazi",1991
Watan Ke Rakhwaley,"Nadira, Nadeem, Rahi",1991
Zid,"Ghulam Mohiuddin, Nadeem, Babra Sharif",1991
Mr. 420,"Umer Sharif, Madiha Shah, Roobi Niazi, Shakeela Qureshi, Khalid Zafar",1992
Shehzada,"Nadeem, Reema Khan, Babra Sharif",1992
Pabandi,"Kaveeta, Nadeem, Samina",1992
Pamila,"Neeli, Javed Sheikh",1992
Aur Choorian Toot Gein,"Shakeel Khan, Sapna, Nawaz, Shaista",1992
Raaz,"Babra, Mohsin, Moin Akhtar",1992
Jeena Chahti Hun,"Madiha Shah, Ismael Shah",1992
Aaj Ka Dour,"Rubi, Arshad Mehmood",1992
Zindgi,"Shahida Minni, Sultan Rahi",1992
Godfather,"Nadra, Sultan Rahi",1992
Haseeno Ki Barat,"Anjuman, Sultan Rahi, Javed",1992
Abdullah The Great,"Neeli, Nadeem, Saima, Izhar Qazi, Sonia, Albela, Rangeela",1992
Naila,"Madiha Shah, Shaan, Abid Ali, Tariq Shah",1992
Chahat,"Nadeem, Mustafa Qureshi, Reema Khan",1992
Mehbooba,"Nadeem, Reema Khan, Anjuman, Nadira",1992
Khazana,"Nadeem, Izhar Qazi, Sahiba",1993
Khuda Ghawah,"Nadeem, Neeli, Sultan Rahi, Saima",1993
Kotwal,"Nadeem, Neeli, Sultan Rahi",1993
Khwahish,"Samina Peerzada, Moin Rahman, Babra Sharif",1993
Qasam,"Nadeem 
Saleem Sheikh",1993
International Luterey,"Afzal Khan, Ghulam Mohiuddin, Nadeem, Sultan Rahi, Saima",1994
Khandan,"Anjuman, Ghulam Mohiuddin, Nadeem, Sultan Rahi, Reema",1994
Ainak Wala Jinn,"Shah Taj, Abid Kashmiri",1995
Ajab Khan,"Madiha, Badar Munir",1995
Awargi,"Madiha, Shaan, Nadeem",1995
Baghi Shehzaday,"Saima, Sultan Rahi",1995
Chuupay Rustam,"Rubi, Umar Sharif, Rahi",1995
Dam Mast Qalandar,"Anjuman, Sultan Rahi",1995
Golden Girl,"Anjuman, Sultan Rahi",1995
Ham Nahin Ya Tum Nahin,"Neeli, Javed, Babra",1995
Jeenay Do,"Hina Shahin, Nawaz Khan",1995
Jeeva,"Babar Ali, Resham, Nadeem, Neeli, Javed Sheikh",1995
Jo Darr Gya Woh Marr Gya,"Neeli, Javed Sheikh, Atiqa Odho, Reema and Nadeem",1995
Jungle Ka Qanoon,"Saima, Sultan Rahi",1995
Kanta,"Meera, Mohsin, Talish",1995
Khazana,"Sahiba, Nadeem, Izhar",1995
Khotay Sikkay,"Reema, Umer Sharif",1995
Madame Rani,"Anjuman, Ghulam Mohiuddin, Nadeem, Sultan Rahi, Reema Khan",1995
Mr. K2,"Seema Rizvi, Moin Akhtar",1995
Munda Bigra Jaye,"Reema, Babar Ali, Sahiba, Jan Rambo",1995
Muskarahat,"Reema, Umar Sharif",1995
Mushkil,"Ghulam Mohiuddin, Nadeem, Neeli, Javed Sheikh",1995
Panah,"Sahiba, Nadeem, Javed",1995
Sarak,"Rahi, Reema, Babar Ali",1995
Sargam,"Adnan Sami Khan, Zeba Bakhtiar, Nadeem",1995
Zar Gul,"Salmaan Ali, Faryal Gohar, Talat Hussain, Jamil Malik, Steve Masty, Babar Peerzada, Imraan Peerzada, Samina Peerzada, Mehmood Sidiqi",1995
Aalmi Ghunday,"Saima, Yousuf, Reema",1996
Aao Pyar Karen,"Neeli, Javed, Nargis",1996
Bazigar,"Meera, Babur Ali, Arbaaz Khan",1996
Be-qabu,"Reema, Babar Ali, Rambo",1996
Chamak,"Madiha, Suleman, Reena",1996
Chief Sahib,"Neeli, Javed Sheikh, Meera, Salim Sheikh",1996
Chor Machaye Shor,"Babar Ali, Ali Ejaz, Afzal Khan, Reema Khan, Resham, Sahiba Khan, Saud Ali",1996
Choron Ke Ghar Chor,"Kubra, Ghalib Kamal",1996
Ghunghat,"Shaan Shahid, Rehsham, Saima, Arbaaz Khan",1996
Ham Hain Aapke Ghulam,"Reema, Babar Ali, Rambo",1996
Ham To Chaley Susral,"Reema, Babar Ali, Rambo, Sahiba",1996
Hawaen,"Jan Rambo, Meera, Nadeem, Reema, Saud",1996
International Haseena,"Musarrat, Tariq Shah",1996
Jeetay Hain Shaan Se,"Sahiba, Asad, Sonia",1996
Khel,"Nain Tara, Sultan Rahi",1996
Khilona,"Saima, Saud, Shaan, Meera, Salim Sheikh",1996
Kurdion Ko Daley Dana,"Neeli, Mohsin, Resham",1996
Lakht-e-Jiggar,"Reema, Babur Ali, Rahi",1996
Love 95,"Reema, Babar Ali, Rambo",1996
Mehndi,"Sahiba, Ghalib Kamal",1996
Mera Mehboob Mera Qatil,"Haseena, Shoaib Khan Gillani, Pakeeza Mughal, Asif Khan Gillani(Child Actor)",1996
Miss Istanbul,"Reema, Babur Ali, Rambo",1996
Moamla Garbar Hai,"Reema, Babar Ali, Rambo",1996
Mummy,"Nadeem, Atiqa Odho, Mustafa Qureshi, Reema Khan",1996
Munda Tera Deewana,"Reema, Babar Ali, Sahiba, Jan Rambo, Saud",1996
Raja Sahib,"Sahiba, Adil Murad, Sana",1996
Raju Ban Gaya Gentleman,"Meera, Rambo, Mohsin",1996
Saza,"Shabnum, Faisal Qureshi",1996
Tilsami Jazeera,"Reema, Badar Munir, Asif",1996
Too Cheez Bari Hai Mast Mast,"Sahiba, Rambo, Sana",1996
Aanchal,"Resham, Rambo, Arbaz",1997
Aashqi Khel Nahin,"Meera, Saud, Nirma",1997
Aulad Ki Qasam,"Nadeem, Reema Khan, Shabnam",1997
Barsat Ki Raat,"Meera, Shaan, Rambo",1997
Chand Girhan,"Shah Taj, Faisal Qureshi",1997
Deewane Tere Pyar Ke,"Jia Ali
Moammar Rana",1997
Dever Deewanay,"Reema, Babur Ali, Rambo",1997
Dil Bhi Tera Ham Bhi Tere,"Meera, Saud, Mohsin",1997
Dil Kisi Ka Dost Nahin,"Saima, Saud, Khoshboo, Arbaz Khan, Sana",1997
Dil Tera Aashiq,"Neeli, Mohsin, Khushboo",1997
Dil Walay,"Saima, Javed Sheikh, Gullu",1997
Dream Girl,"Meera, Saud, Laila",1997
Duniya Hai Dil Walon Ki,"Reema, Babur Ali, Saud",1997
Fareb,"Meera, Saud, Laila, Shaan",1997
Ghayal,"Babra, Izhar Qazi, Gullu",1997
Ham Kisi Se Kam Nahin,"Reema, Babur Ali, Rambo",1997
Ham Tumhare Hain,"Reema, Babur Ali, Nadeem, Meera, Saud",1997
Jan Jan Pakistan,"Saiba, Rambo, Sara",1997
Jeet,"Meera, Saud, Rambo",1997
Karam Daata,"Neeli, Nadeem, Rambo",1997
Karishma,"Reema, Saud, Rambo",1997
Khuda Janay,"Reema, Babur Ali, Rambo",1997
Mafia,"Reema, Babur Ali, Rambo",1997
Main Khilari Too Anari,"Reema, Babur Ali, Rambo",1997
Mard Jeene Nahin Dete,"Neeli, Rambo, Meera",1997
Miss Kalashnikov,"Shahida Mini, Gullu, Saima",1997
Mohabbat Hai Kya Cheez,"Resham, Shaan, Nadeem",1997
Najaiz,"Reema, Babur Ali, Nadeem",1997
Qarz,"Ghulam Mohiuddin, Nirma, Javed Sheikh",1997
Raja Pakistani,"Reema, Babur Ali, Rambo",1997
Sangam,"Resham, Shaan, Salim Sheikh, Sana",1997
Sharafat,"Saima, Saud, Resham",1997
Umar Mukhtar,"Reema, Yusuf Khan Nadeem, Arbaz Khan, Ghulam Mohayuddin, Sohail Ahmad",1997
Uqaboon Ka Nasheman,"Yusuf Khan Reema, Babur Ali, Rambo",1997
Yes Boss,"Meera, Javed Sheikh, Resham",1997
Choorian,"Moammar Rana, Saima Noor, Nargis (Actress), Sana Nawaz, Shafqat Cheema",1998
Deevaren,"Reema, Babur, Saima",1998
Dil Sanbhala Na Jaye,"Reema, Babur, Saima",1998
Do Boond Pani,"Resham, Shaan, Saud",1998
Doli Saja Ke Rakhna,"Reema, Shaan, Rambo",1998
Dulha Le Kar Jaun Gi,"Reema, Babur, Gullu",1998
Duniya Dekhe Gi,"Resham, Shaan, Moamar Rana",1998
Dupatta Jal Raha Hai,"Saima, Arbaz Khan, Resham, Nadeem",1998
Ehsas,"Meera, Shaan, Javed",1998
Harjai,"Meera, Babur, Neeli",1998
Haseena Numbri Aashiq Das Numbri,"Meera, Shaan, Saud",1998
Insaf Ho To Aisa,"Reema, Shaan, Babur",1998
Jinnah - The Movie,"Christopher Lee, James Fox, Maria Aitken, Shashi Kapoor, Richard Lintern",1998
Jise De Moula,"Reema, Babur, Saud",1998
Kabhi Haan Kabhi Naa,"Meera, Shaan, Saud",1998
Kahin Pyar Na Ho Jaye,"Resham, Shaan, Salim",1998
Khalnayak,"Neeli, Javed, Rambo",1998
Khatarnak Haseena,"Sabeeta, Sheeva, Noutan",1998
King Maker,"Reema, Shaan, Saud",1998
Mohafiz,"Saima, Shahid, Nadeem",1998
Mohlat,"Resham, Moamar, Nadeem",1998
Nakhra Gori Ka,"Reema, Babur, Jia Ali",1998
Nikah,"Reema Khan, Shaan Shahid, Ahsan Khan, Nirma, Laila, Deeba, Abid Khan, Mishi Khan",1998
"Sahib, Bibi Aur Tawaif","Chandni, Javed, Rambo",1998
Sahib Jee,"Reema, Nadeem, Javed",1998
Too Chor Main Sipahi,"Sana, Rambo, Mohsin",1998
Too Meri Main Tera,"Reema, Shaan, Rambo",1998
Very Good Duniya Very Bad Log,"Reshan, Shaan, Fakhar Alam, Nargis, Neeli, Kavi, Latif Kapadia, Zaheen Tahira",1998
Zevar,"Reema, Babur, Shahid",1998
Ziddi,"Samia, Saud, Babur",1998
Zor,"Shahid, Nadeem, Reema, Babur, Moamar",1998
Aik Aur Love Story,"Sajjad Ali, Saira Khan, Nirma, Salim Sheikh",1999
Chand Babu,"Saima, Umar Sharif",1999
Chupke Chupke,"Resham, Moamar Rana",1999
Daku Rani,"Saima, Shaan, Moamar",1999
Dekha Jayega,"Saima, Shaan, Moamar",1999
Dil Mein Chhupa Ke Rakhna,"Saima, Shaan, Nadeem",1999
Dil To Pagal Hai,"Reema, Shaan, Bahar",1999
Dunia Se Kya Darna,"Saima, Javed Sheikh",1999
Dushman Zinda Rahe,"Reema, Moamar, Babur",1999
Ghaddar,"Khushboo, Faisal Rehman",1999
Guns N' Roses - Ek Junoon,"Resham, Meera, Shaan Shahid, Faisal Rehman",1999
Hawwa Ki Beti,"Sapna, Izhar Qazi, Nargis",1999
Ik Pagal Si Larki,"Reema, Moamar, Khushboo",1999
Insaniyat Ke Qatil,"Meera, Saud, Babar",1999
Inteha,"Meera, Nadeem, Resham, Humayun Saeed, Zeeshan Sikander",1999
Ishq Zinda Rahe Ga,"Neeli, Shaan, Sahiba",1999
Jannat Ki Talash,"Resham, Saud, Shaan Shahid, Shafqat Cheema",1999
Jazba,"Saima, Shaan, Saud",1999
Koela,"Saima, Shaan, Moamar",1999
Kursi Aur Qanoon,"Saima, Shaan, Moamar",1999
Mujhe Jeene Do,"Meera, Babur Ali, Javed Shiekh, Sana",1999
Noukar,"Reema, Saud, Saima",1999
Pal Do Pal,"Meera, Saud, Moamar",1999
Qaid,"Zeba Bakhtiar, Saud, Saima",1999
Qismat,"Saima, Moamar, Reema",1999
Sala Bigra Jaye,"Saima, Shaan, Mohsin",1999
Waris,"Saima, Shaan, Moamar",1999
Wirasat,"Saima, Moamar, Rambo",1999
Aag Ka Darya,"Noor Bukhari, Shaan, Sana Nawaz",2000
Abhi Nahin To Kabhi Nahin,"Saima, Shaan, Moammar Rana",2000
Angaaray,"Shafqat Cheema, Mustafa Qureshi, Moammar Rana, Saima, Shaan",2000
Banarsi Chor,"Saima, Saud, Reema Khan",2000
Barood,"Reema Khan, Shaan, Moamar",2000
Beti,"Saima, Moamar, Rambo",2000
Billi,"Saima, Nadeem, Meera, Noor",2000
Billo 420,"Reema Khan, Moamar, Saima",2000
Dil Se Na Bhoolana,"Meera, Saud, Rambo",2000
Ghar Kab Aao Gay,"Saima, Shaan, Sana, Meera, Zeeshan, Javed Sheikh, Jia Ali",2000
Ghulam,"Saima, Shaan, Moamar",2000
Ham Khiladi Pyar Ke,"Neeli, Shaan, Sana",2000
Jungle Queen,"Jan Rambo, Moammar Rana, Saima",2000
Kahan Hai Qanoon,"Saima, Shaan, Resham",2000
Khuda Ke Chor,"Saima, Shaan, Nadeem",2000
Lakhon Mein Aik,"Saima, Moamar, Babar Ali",2000
Lazawal,"Meera, Suad, Babur",2000
Love in Holland,"Laila, Ahsan, Ateeq",2000
Marvi,"Marvi, Faisal Qureshi",2000
Mehbooba,"Noor, Arbaz, Roop",2000
Meri Tauba,"Neeli, Javed Sheikh",2000
Mr. Faradiye,"Meera, Shaan, Saud",2000
Mujhe Chand Chahiye,"Shaan, Noor, Atiqa Odho, Moammar Rana, Reema Khan, Javed Sheikh, Ismail Tara",2000
No Paisa No Problem,"Noor, Humayun Saeed , Sana",2000
Pasand,"Reema Khan, Babur, Khushboo",2000
Pehchan,"Moammar Rana, Reema Khan, Saima, Saud, Shaan",2000
Sangdil,"Saima, Shaan, Moamar",2000
Sultana Daku,"Saima, Shaan, Sana",2000
Tere Pyar Mein,"Shaan, Zara Sheikh, Veena Malik",2000
Waada,"Saima, Saud, Noor",2000
Yeh Hui Na Mardon Wali Baat,"Resham, Munna, Raheel, Guriya",2000
Aaj Ki Larki,"Resham, Shaan, Babur Ali",2001
Babu,"Zeba Bakhtiar, Saud",2001
Baghi,"Saima, Shaan, Saud",2001
Choorian Nahin Hathkarian,"Saima, Saud, Reema",2001
Dakait,"Saima, Shaan, Moamar",2001
Daldal,"Reema, Shaan, Saud",2001
Dil Deewana Hai,"Jia Ali, Babur, Moamar, Nadeem",2001
Doulat,"Saima, Shaan, Nirma",2001
Gharana,"Meera, Babur, Saud",2001
Hakumat,"Saima, Shaan, Sana",2001
Jan Tere Naam,"Reemit, Babur Ali, Saud",2001
Janwar,"Noor, Arbaz, Megha",2001
Khanzada,"Saima, Shaan",2001
Khoey Ho Tum Kahan,"Meera, Babar Ali, Nagma, Deeba",2001
Martey Dam Tak,"Sonam, Umar, Amir",2001
Mere Mehboob,"Resham, Shaan, Sana",2001
Meri Pukar,"Shaan, Saud",2001
Moosa Khan,"Saima, Shaan, Noor, Jan Rambo",2001
Munda Rang Rangeela,"Resham, Mohamar, Rambo",2001
Musalman,"Sana, Shaan, Meera",2001
Raka,"Saima, Lucky, Hamayun",2001
Rukhsati,"Meera, Moamar Rana, Jia Ali",2001
Sajan Ka Pyar,"Khushbu, Imran Sheikh",2001
Sangam,"Reema, Shaan, Saud",2001
Sapne Apne Apne,"Saima, Moamar, Bahar",2001
Toofan Mail,"Saima, Shaan, Noor",2001
Uff Yeh Bivian,"Saima, Moamar, Reema",2001
Baghawat,"Sana, Shaan, Nirma",2002
Behram Daku,"Saima, Shaan, Babur",2002
Border,"Sana, Shaan, Reema",2002
Babbu Khan,"Saima, Shaan, Bader Munir",2002
Chalo Ishq Larain,"Meera, Zara Sheikh, Ali Haider",2002
Daku,"Saima, Shaan, Noor",2002
Fire,"Reema, Mohammar Rana",2002
Ghazi Ilmuddin Shaheed,"Noor, Moamar Rana",2002
Geo Jatta,"Reema, Nazo, Baber Ali, Saud",2002
Ishtehari,"Sana, Shaan, Laila",2002
Jahad,"Saima, Shaan, Meera",2002
Kon Banega Karorpati,"Reema, Moamar Rana",2002
Khuda Qasam,"Reema, Saud, Amman",2002
Maneela Ke Jasoos,"Sana, Shaan, Babur",2002
Pehla Sajdah,"Aleena, Balal, Rashid",2002
Raqasa,"Meera, Shaan, Resham",2002
Shikari Haseena,"Haseena, Shaan, Babur Ali",2002
Sholay,"Saima, Shaan, Reema",2002
Toofaan,"Saima, Shaan, Moamar",2002
Yeh Dil Aap Ka Huwa,"Babar Ali, Veena Malik, Moammar Rana, Sana, Javed Sheikh, Saleem Sheikh",2002
Commando,"Saima, Shaan, Moammar Rana",2003
Darinda,"Sana, Shaan, Reema",2003
Darr,"Saima, Shaan, Noor",2003
Dil Totey Totey Hogaya,"Saima, Shaan, Reema",2003
Kalia,"Sana, Shaan, Nirma",2003
Halaku,"Sana, Shaan, Babur",2003
Kundan,"Saima, Shaan, Babar",2003
Laaj,"Zara Sheikh, Nirma, Imran Khan, Resham, Talat Hussain",2003
Larki Panjaban,"Babar Ali, Shamil Khan, Saima",2003
Meri Awaz Sunu,"Saima, Shaan, Meera",2003
Pyar Hi Pyar Mein,"Anchal, Ali Tabish, Wasif Butt, Nisha",2003
Qayamat,"Saiam, Shaan, Sangeeta",2003
"Roti, Goli Aur Sarkar","Reema, Mohammar Rana",2003
